Category,Param Name,Param Value,Param Source / Comments,
,Scenario name,New_Flyer_XD40_Diesel_40ft,,
Vehicle,veh_pt_type,Conv,,
,drag_coef,1.0,,
,frontal_area_m2,7.39983600675,101.75 in * 125.25 in * 90%; https://www.altoonabustest.psu.edu/bus-details.aspx?BN=1211-P,
,glider_kg,0,,
,veh_cg_m,0.7,,
,drive_axle_weight_frac,0.6,,
,wheel_base_m,7.19455,283.25 in; https://www.altoonabustest.psu.edu/bus-details.aspx?BN=1211-P,
,cargo_kg,0,,
,veh_override_kg,15113.698,SLW 33320 lb; https://www.altoonabustest.psu.edu/bus-details.aspx?BN=1211-P,
,comp_mass_multiplier,1.2,,
Motor,mc_max_kw,0,,
,mc_pwr_out_perc,,,
,mc_eff_map,,,
,mc_sec_to_peak_pwr,4.8,,
,mc_pe_kg_per_kw,0,,
,mc_pe_base_kg,0,,
Battery,ess_max_kw,0,,
,ess_max_kwh,0,,
,ess_kg_per_kwh,0,,
,ess_base_kg,0,,
,ess_round_trip_eff,1,,
,ess_life_coef_a,110,,
,ess_life_coef_b,-0.6811,,
,min_soc,0,,
,max_soc,1,,
,ess_dischg_to_fc_max_eff_perc,0.3,,
,ess_chg_to_fc_max_eff_perc,0.3,,
Wheels,wheel_inertia_kg_m2,8,,
,num_wheels,6,https://www.altoonabustest.psu.edu/bus-details.aspx?BN=1211-P,
,wheel_rr_coef,0.0065,,
,wheel_radius_m,0.49925,B305/70R22.5; https://www.altoonabustest.psu.edu/bus-details.aspx?BN=1211-P,
,wheel_coef_of_fric,0.7,,
HEV Controls,max_accel_buffer_mph,60.3,,
,max_accel_buffer_perc_of_useable_soc,0.2,,
,perc_high_acc_buf,0.8,,
,mph_fc_on,0,,
,kw_demand_fc_on,100.8,,
,max_regen,0.8,,
,stopStart,FALSE,,
,force_aux_on_fc,FALSE,,
Misc.,alt_eff,0.9,,
,chg_eff,0.86,,
,aux_kw,8,,
,trans_kg,0,,
,trans_eff,0.82,,
,ess_to_fuel_ok_error,0.005,,
,val_udds_mpgge,,,
,val_hwy_mpgge,,,
,val_comb_mpgge,,,
Fuel / Fuel Converter,maxFuelStorKw,999999,,
,fuelStorSecsToPeakPwr,1,,
,fuelStorKwh,5422.4806608,144 gal * 37.6561157 kWh/gal (AFDC); https://afdc.energy.gov/fuels/properties https://www.altoonabustest.psu.edu/bus-details.aspx?BN=1211-P,
,fuelStorKwhPerKg,0,,
,maxFuelConvKw,208.796,280 hp; https://www.altoonabustest.psu.edu/bus-details.aspx?BN=1211-P,
,fcPwrOutPerc,,,
,fcEffMap,"[0.05, 0.08, 0.12, 0.18, 0.22, 0.28, 0.33, 0.38, 0.42, 0.41, 0.38, 0.35]",,
,fcEffType,HD_Diesel,
,fuelConvSecsToPeakPwr,3,,
,fuelConvBaseKg,0,,
,fuelConvKwPerKg,0,,
,val_udds_kwh_per_mile,,,
,val_hwy_kwh_per_mile,,,
,val_comb_kwh_per_mile,,,
,val_cd_range_mi,,,
,val_const65_mph_kwh_per_mile,,,
,val_const60_mph_kwh_per_mile,,,
,val_const55_mph_kwh_per_mile,,,
,val_const45_mph_kwh_per_mile,,,
,val_unadj_udds_kwh_per_mile,,,
,val_unadj_hwy_kwh_per_mile,,,
,val0_to60_mph,,,
,val_ess_life_miles,,,
,val_range_miles,,,
,val_veh_base_cost,,,
,val_msrp,,,
,min_fc_time_on,,,
,idle_fc_kw,,,
