Category,Param Name,Param Value,Param Source / Comments,
,Scenario name,New_Flyer_XN40_CNG_40ft,,
Vehicle,veh_pt_type,Conv,,
,drag_coef,1.05,,
,frontal_area_m2,7.906629348,102 in * 133 in * 90%; https://www.altoonabustest.psu.edu/bus-details.aspx?BN=1118
,glider_kg,0,,
,veh_cg_m,0.7,,
,drive_axle_weight_frac,0.6,,
,wheel_base_m,13.2588,522 in; https://www.altoonabustest.psu.edu/bus-details.aspx?BN=1118
,cargo_kg,0,,
,veh_override_kg,22806.624,SLW 50280lb; https://www.altoonabustest.psu.edu/bus-details.aspx?BN=1118
,comp_mass_multiplier,1.2,,
Motor,mc_max_kw,0,,
,mc_pwr_out_perc,,,
,mc_eff_map,,,
,mc_sec_to_peak_pwr,4.8,,
,mc_pe_kg_per_kw,0,,
,mc_pe_base_kg,0,,
Battery,ess_max_kw,0,,
,ess_max_kwh,0,,
,ess_kg_per_kwh,0,,
,ess_base_kg,0,,
,ess_round_trip_eff,1,,
,ess_life_coef_a,110,,
,ess_life_coef_b,-0.6811,,
,min_soc,0,,
,max_soc,1,,
,ess_dischg_to_fc_max_eff_perc,0.3,,
,ess_chg_to_fc_max_eff_perc,0.3,,
Wheels,wheel_inertia_kg_m2,8,,
,num_wheels,10,,
,wheel_rr_coef,0.0065,,
,wheel_radius_m,0.49925,B305/70R22.5,
,wheel_coef_of_fric,0.7,,
HEV Controls,max_accel_buffer_mph,60.3,,
,max_accel_buffer_perc_of_useable_soc,0.2,,
,perc_high_acc_buf,0.8,,
,mph_fc_on,0,,
,kw_demand_fc_on,100.8,,
,max_regen,0.8,,
,stopStart,FALSE,,
,force_aux_on_fc,FALSE,,
Misc.,alt_eff,0.9,,
,chg_eff,0.86,,
,aux_kw,8,,
,trans_kg,0,,
,trans_eff,0.82,,
,ess_to_fuel_ok_error,0.005,,
,val_udds_mpgge,,,
,val_hwy_mpgge,,,
,val_comb_mpgge,,,
Fuel / Fuel Converter,maxFuelStorKw,5000,,
,fuelStorSecsToPeakPwr,1.1,,
,fuelStorKwh,7957.444,26360 Scf @ 3600 Psi * 1030 BTU/scf / 3412 BTU/kWh = 7957.444 kWh; https://www.altoonabustest.psu.edu/bus-details.aspx?BN=1118,
,fuelStorKwhPerKg,0,,
,maxFuelConvKw,238.624,Cummins ISL G320; 320hp = 238.624 kW; https://www.altoonabustest.psu.edu/bus-details.aspx?BN=1118,
,fcPwrOutPerc,"[0, 0.100414609631407, 0.122871179340401, 0.23, 0.35, 0.5, 0.68, 1]", calculated from https://www.researchgate.net/publication/312215437_A_regenerative_supercritical-subcritical_dual-loop_organic_Rankine_cycle_system_for_energy_recovery_from_the_waste_heat_of_internal_combustion_engines
,fcEffMap,"[0.10, 0.191929738355655, 0.23, 0.3, 0.35, 0.365, 0.38, 0.38]", calculated from https://www.researchgate.net/publication/312215437_A_regenerative_supercritical-subcritical_dual-loop_organic_Rankine_cycle_system_for_energy_recovery_from_the_waste_heat_of_internal_combustion_engines
,fcEffType,HD_Diesel, overridden by fcEffMap
,fuelConvSecsToPeakPwr,6.0,,
,fuelConvBaseKg,0,,
,fuelConvKwPerKg,0,,
,val_udds_kwh_per_mile,,,
,val_hwy_kwh_per_mile,,,
,val_comb_kwh_per_mile,,,
,val_cd_range_mi,,,
,val_const65_mph_kwh_per_mile,,,
,val_const60_mph_kwh_per_mile,,,
,val_const55_mph_kwh_per_mile,,,
,val_const45_mph_kwh_per_mile,,,
,val_unadj_udds_kwh_per_mile,,,
,val_unadj_hwy_kwh_per_mile,,,
,val0_to60_mph,,,
,val_ess_life_miles,,,
,val_range_miles,,,
,val_veh_base_cost,,,
,val_msrp,,,
,min_fc_time_on,,,
,idle_fc_kw,,,
